1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
492,4,42,946,1,0.7,1.4,3,961,626,2,1,3,3,3,2,16,2,3,2,3,1,0,0,1,3,4,4,4.03,Latin America,Mexico,mexico-city-mexico,0.111716621
223,3,19,976,1,0.63,1.11,3,697,349,2,1,3,4,3,2,10,2,3,2,3,1.753777352,0,0,2,3,4,4,4.51,Latin America,Mexico,cancun-mexico,0.049046322
503,2,68,1312,1.066219699,0.54,0.7,3,1064,631,1,1,4,2,2,2,5,1,2,1,3,2.043747693,1,0,3,2,1,1,4.45,Middle East,Jordan,amman-jordan,0.182561308
426,2,23,885,2,0.44,1.41,3,789,522,2,1,2,3,1,1,18,2,3,2,3,2,0,0,3,3,3,4,4.83,Asia,Vietnam,ho-chi-minh-city-vietnam,0.059945504
2740,2,49,2135,3,1.06,3.4,1,2801,2347,2,1,2,4,2,1,44,3,4,2,3,2,0,0,3,4,3,4,4.11,Asia,China,hong-kong-china,0.130790191
401,2,59,1586,3,0.53,3.9,3,1053,686,2,1,1,1,2,1,6,1,1,2,3,1,0,0,3,3,3,4,3.52,Asia,China,zhuhai-china,0.158038147
418,3,24,1312,3,0.69,2.35,3,891,591,2,1,3,2,3,1,19,3,3,1,3,2,0,0,3,3,1,2,4.54,Asia,Thailand,phuket-thailand,0.0626703
619,4,29,976,1,0.62,2.47,3,1067,832,2,1,3,2,3,3,16,1,2,2,3,2.383253259,1,0,3,3,1,4,4.45,Asia,Malaysia,kuala-lumpur-malaysia,0.076294278
451,3,21,1159,1,0.67,1.74,3,907,579,1,1,3,2,1,1,4,2,1,1,3,1.781167466,1,0,2,2,4,2,3.9,Asia,Cambodia,phnom-penh-cambodia,0.054495913
198,2,57,1037,1,0.3,0.37,3,506,228,1,1,2,2,1,1,12,1,2,1,3,1,0,0,2,3,3,4,3.25,Asia,India,chennai-india,0.152588556
102,2,187,915,1,0.33,0.91,3,458,200,2,1,1,1,1,1,8,1,2,1,2,1,0,0,2,2,3,4,3.5,Asia,India,jaipur-india,0.506811989
88,2,196,671,1,0.35,1.42,3,454,237,1,1,3,3,1,1,4,1,2,1,2,1,1,0,2,2,3,4,3.69,Asia,India,agra-india,0.53133515
244,2,229,1373,1,0.46,1.3,3,735,362,1,1,3,2,1,1,8,1,2,1,2,1,0,0,2,2,3,2,3.26,Asia,India,delhi-india,0.621253406
586,2,117,1312,1,0.47,1.33,3,984,658,1,1,3,2,1,1,8,1,2,1,2,1,0,0,2,2,3,4,3.63,Asia,India,mumbai-india,0.316076294
691,2,61,1312,3,0.61,3.51,3,1226,940,2,1,2,2,2,1,15,1,2,2,3,1,0,0,3,3,3,4,4.25,Asia,China,shenzhen-china,0.163487738
1510,2,16,2776,2,2.2,4.67,1,3258,2422,4,2,3,3,3,3,31,3,2,3,3,3,0,1,2,4,4,4,4.34,North America,United States,washington-dc-united-states,0.040871935
990,2,17,3294,2,1.7,3.41,1,2274,1281,4,2,3,3,3,3,17,2,2,3,3,3,0,1,3,4,4,4,4.3,North America,United States,madison-wi-united-states,0.04359673
1146.691678,2,12,2776,2,1.92,3.97,1,3270,2432,2,2,2,3,3,3,19,3,2,3,3,2,0,1,3,4,4,4,4.15,North America,United States,boston-ma-united-states,0.029972752
1906,3,154,2318,2,1.83,4.36,1,2879,2284,2,1,3,3,3,1,13,1,2,3,2,2,1,0,4,2,4,4,4.02,Middle East,United Arab Emirates,dubai-united-arab-emirates,0.416893733
1884,3,30,2288,3,0,4.03,2,2661,2193,4,1,2,3,3,4,101,2,2,3,3,3,0,1,4,4,4,4,4.45,Asia,Singapore,singapore-singapore,0.079019074
792,2,23,1830,3,2.21,3.37,1,1885,1168,4,2,4,3,3,2,21,3,3,3,3,4,0,1,4,3,4,4,3.68,Europe,United Kingdom,glasgow-united-kingdom,0.059945504
2360,2,14,3111,3,2.21,3.14,1,2873,1362,4,2,3,3,3,2,36,3,3,3,3,4,0,1,4,4,4,4,4.02,Europe,United Kingdom,edinburgh-united-kingdom,0.035422343
783,2,19,1800,2,2.38,3.13,2,1795,1113,2,3,2,2,3,3,60,2,2,4,3,2,0,1,3,3,4,1,4.14,Europe,Belgium,leuven-belgium,0.049046322
844,3,24,1983,1,2.23,3.38,2,1823,1157,4,3,3,3,3,3,28,4,3,4,3,3,0,1,4,4,4,4,4.53,Europe,Germany,berlin-germany,0.0626703
875,2,26,1647,2,1.94,3.11,2,1868,1212,4,3,2,2,3,3,43,2,2,4,3,2,0,1,2,3,4,4,4.14,Europe,Belgium,brussels-belgium,0.068119891
441,2,20,1342,2,0.9,2.06,3,1019,620,3,2,4,3,2,3,27,2,3,3,3,2,0,1,4,4,4,4,4.33,Europe,Poland,gdansk-poland,0.051771117
479,2,36,763,2.295373255,0.67,2.12,3,792,610,1.842215648,1,3,2,2,1,10,2,2,1,3,2,0,0,2,3,1,2,4.14,Latin America,Ecuador,quito-ecuador,0.095367847
518,2,32,763,1.684642624,0.69,1.51,3,810,612,2,1,3,3,2,1,6,2,1,1,3,2,0,0,2,3,1,4,3.64,Latin America,Ecuador,cuenca-ecuador,0.084468665
423,2,13,275,1.557346364,0.86,2.51,3,736,624,2,1,2,2,2,1,10,2,2,1,3,2,1,0,2,2,1,2,4.05,Latin America,Ecuador,guayaquil-ecuador,0.032697548
162,2,18,488,1,0.53,0.99,3,378,244,2,1,2,2,3,3,9,1,2,1,3,1,0,0,1,3,3,4,3.53,Latin America,Colombia,pasto-colombia,0.046321526
206,3,41,641,1,0.59,1.92,3,609,379,1,1,4,2,3,3,10,1,2,1,3,1,0,0,1,3,3,4,3.86,Latin America,Colombia,cali-colombia,0.108991826
473,2,45,610,1,0.52,1.81,3,849,619,2,1,3,3,3,3,8,2,3,1,3,2,0,0,1,3,3,4,4.49,Latin America,Colombia,medellin-colombia,0.119891008
378,2,36,854,1,0.62,1.22,3,711,468,1,1,2,2,3,3,7,2,1,1,3,1,0,0,1,3,3,4,3.82,Latin America,Colombia,santa-marta-colombia,0.095367847
328,2,44,824,1,0.67,1.38,3,686,442,2,1,2,2,3,3,7,2,3,1,3,2,1,0,1,2,3,4,4.12,Latin America,Colombia,barranquilla-colombia,0.117166213
691,3,41,1007,1,0.56,1.73,3,1077,784,1,1,4,4,3,3,9,1,3,1,3,1.390264123,0,0,1,3,3,4,3.88,Latin America,Colombia,cartagena-colombia,0.108991826
435,3,52,732,1,0.66,1.41,3,799,550,2,1,4,3,3,3,7,2,2,1,3,2,0,0,1,3,3,4,4.03,Latin America,Colombia,bogota-colombia,0.138964578
1547,2,27,2959,2,3.17,5.79,1,3489,2495,4,4,3,3,4,3,41,3,3,4,3,4,0,1,4,4,4,4,4.33,Europe,Denmark,copenhagen-denmark,0.070844687
820,2,16,1861,2,2.14,3.38,1,2149,1246,4,3,3,3,3,3,42,3,2,4,3,2,0,1,3,3,4,4,3.77,Europe,Belgium,ghent-belgium,0.040871935
389,2,27,915,2,0.93,1.97,3,891,580,2,2,2,2,2,3,29,1,2,3,3,2,0,1,3,3,4,4,4.089206639,Europe,Poland,poznan-poland,0.070844687
367,2,54,2074,1,0.66,1.94,3,1072,512,1,1,1,2,3,2,16,1,2,2,3,2,1,0,1,3,4,1,3.54,Latin America,Mexico,tulum-mexico,0.144414169
536,2,33,976,2,1.02,2.01,3,1080,724,3,2,3,4,2,3,28,2,3,3,3,2,0,1,4,3,4,4,4.11,Europe,Poland,warsaw-poland,0.08719346
1085,3,24,1952,3,2.19,2.27,1,2021,1301,3,3,2,3,3,4,29,3,3,3,3,2,0,1,3,4,4,4,4.029474577,Europe,Spain,barcelona-spain,0.0626703
167,2,7,2593,3,0.75,2.26,3,1065,399,4,1,3,2,3,1,21,3,1,1,3,1,0,0,2,3,1,2,3.75,Asia,Thailand,ko-tao-thailand,0.016348774
301,2,16,1251,3,0.3,2.22,3,723,453,2,1,3,2,3,1,21,3,2,1,3,1,0,0,2,3,1,1,3.62,Asia,Thailand,ko-pha-ngan-thailand,0.040871935
239,2,21,1037,2,0.31,0.43,3,575,274,2,1,3,3,1,1,22,2,2,2,3,2,0,0,3,3,3,4,4.24,Asia,Vietnam,hoi-an-vietnam,0.054495913
347,2,46,1007,3,0.4,2.22,3,728,509,2,1,3,3,3,1,20,2,2.045612614,1,3,2,0,0,3,3,1,4,4.97,Asia,Thailand,chiang-mai-thailand,0.122615804
452,2,15,976,3,0.75,2.19,3,950,626,4,1,3,2,3,1,18,3,1,1,3,2,0,0,3,3,1,1,3.49,Asia,Thailand,ko-lanta-thailand,0.038147139
628,4,42,1342,3,0.61,2.38,3,1080,778,3,1,3,3,3,1,19,3,4,1,3,2,0,0,3,3,1,4,4.9,Asia,Thailand,bangkok-thailand,0.111716621
421,2,39,1220,1,0.35,1.75,3,836,546,3,1,3,3,2,2,9,3,1,2,3,3,1,0,3,3,3,4,4.4,Asia,Indonesia,ubud-bali-indonesia,0.103542234
